season,season_week,week_start_date,denv1_cases,denv2_cases,denv3_cases,denv4_cases,other_positive_cases,additional_cases,total_cases
2008/2009,23,9/30/2008,3,1,3,0,12,1,20
2008/2009,24,10/7/2008,9,2,1,0,16,0,28
2008/2009,25,10/14/2008,17,2,2,0,24,0,45
2008/2009,26,10/21/2008,9,5,2,0,12,0,28
2008/2009,27,10/28/2008,9,1,4,1,19,0,34
2008/2009,28,11/4/2008,11,2,4,0,24,0,41
2008/2009,29,11/11/2008,19,1,1,0,13,2,36
2008/2009,30,11/18/2008,19,5,2,0,12,0,38
2008/2009,31,11/25/2008,26,1,2,0,19,0,48
2008/2009,32,12/2/2008,13,1,1,1,11,0,27
2008/2009,33,12/9/2008,14,1,1,0,6,1,23
2008/2009,34,12/16/2008,13,3,2,0,10,0,28
2008/2009,35,12/23/2008,20,3,0,0,19,0,42
2008/2009,36,1/1/2009,15,0,2,0,13,0,30
2008/2009,37,1/8/2009,10,0,0,0,8,0,18
2008/2009,38,1/15/2009,25,1,0,0,12,0,38
2008/2009,39,1/22/2009,16,1,1,0,10,0,28
2008/2009,40,1/29/2009,21,1,1,0,13,0,36
2008/2009,41,2/5/2009,27,2,0,0,15,0,44
2008/2009,42,2/12/2009,27,1,0,0,13,0,41
2008/2009,43,2/19/2009,21,1,0,1,12,0,35
2008/2009,44,2/26/2009,13,0,0,0,15,0,28
2008/2009,45,3/5/2009,16,1,0,0,11,0,28
2008/2009,46,3/12/2009,12,0,0,0,10,0,22
2008/2009,47,3/19/2009,14,0,0,0,12,0,26
2008/2009,48,3/26/2009,11,0,0,0,13,0,24
2008/2009,49,4/2/2009,4,0,0,1,4,0,9
2008/2009,50,4/9/2009,13,0,0,1,7,0,21
2008/2009,51,4/16/2009,7,0,0,0,3,0,10
2008/2009,52,4/23/2009,11,0,0,1,3,0,15
